rank,logo_link,origin,name,segment
1,https://www.carlogos.org/car-logos/toyota-logo.png,Japan,Toyota,Mass-Market Cars
2,https://www.carlogos.org/car-logos/honda-logo.png,Japan,Honda,Mass-Market Cars
3,https://www.carlogos.org/car-logos/chevrolet-logo.png,United States,Chevrolet,Mass-Market Cars
4,https://www.carlogos.org/car-logos/ford-logo.png,United States,Ford,Mass-Market Cars
5,https://www.carlogos.org/car-logos/mercedes-benz-logo.png,Germany,Mercedes-Benz,Luxury Vehicles
6,https://www.carlogos.org/car-logos/jeep-logo.png,United States,Jeep,Sport Utility Vehicles
7,https://www.carlogos.org/car-logos/bmw-logo.png,Germany,BMW,Luxury Vehicles
8,https://www.carlogos.org/car-logos/porsche-logo.png,Germany,Porsche,Luxury Sports Cars
9,https://www.carlogos.org/car-logos/subaru-logo.png,Japan,Subaru,Mass-Market Cars
10,https://www.carlogos.org/car-logos/nissan-logo.png,Japan,Nissan,Mass-Market Cars
11,https://www.carlogos.org/car-logos/cadillac-logo.png,United States,Cadillac,Luxury Vehicles
12,https://www.carlogos.org/car-logos/volkswagen-logo.png,Germany,Volkswagen,Mass-Market Cars
13,https://www.carlogos.org/car-logos/lexus-logo.png,Japan,Lexus,Luxury Vehicles
14,https://www.carlogos.org/car-logos/audi-logo.png,Germany,Audi,Luxury Vehicles
15,https://www.carlogos.org/car-logos/ferrari-logo.png,Italy,Ferrari,Super Luxury Sports Cars
16,https://www.carlogos.org/car-logos/volvo-logo.png,Sweden,Volvo,Luxury Vehicles
17,https://www.carlogos.org/car-logos/jaguar-logo.png,United Kingdom,Jaguar,Luxury Vehicles
18,https://www.carlogos.org/car-logos/gmc-logo.png,United States,GMC,Pickup Trucks
19,https://www.carlogos.org/car-logos/buick-logo.png,United States,Buick,Mass-Market Cars
20,https://www.carlogos.org/car-logos/acura-logo.png,Japan,Acura,Luxury Vehicles
